Categorization,Type,Feature,Feature Columns in Output,Note for Feature(s) to be Extracted,Name of the Model,Website,General Category
Audio Feature,Audio,Audio volume,oc_audvol,,OpenCV,-,-
Audio Feature,Audio,Change in audio volume,oc_audvol_diff,Difference b/t frames,OpenCV,-,-
Audio Feature,Audio,Average audio pitch,oc_audpit,,OpenCV,-,-
Audio Feature,Audio,Change in audio pitch,oc_audpit_diff,Difference b/t frames,OpenCV,-,-
Emotional Recognition,Audio,Speech emotion/emotional speech classification,"ser_neutral, ser_calm, ser_happy, ser_sad, ser_angry, ser_fear, ser_disgust, ser_ps, ser_boredom",ser_ps = (pleasant surprise),Speech Emotion Recognition,https://github.com/x4nth055/emotion-recognition-using-speech,Speech
Audio Sepation,Audio,Speech Separation,"separated_source_1, separated_source_2, ...","Each output is a time-series audio waveform (NumPy array or tensor), corresponding to one separated speaker. The number of outputs matches the number of speakers in the input mixture. When saving to disk, these are typically named source1hat.wav, source2hat.wav, etc. See: HuggingFace SepFormer Model Card (https://huggingface.co/speechbrain/sepformer-libri3mix)",SepFormer,https://github.com/speechbrain/speechbrain,Speech
Audio transcript,Audio,Time-Accurate Speech Transcription,"WhX_highlight_diarize__speaker1_word_1 ... WhX_highlight_diarize_speaker1_word_2....
WhX_highlight_diarize__speaker2_word_1 ... WhX_highlight_diarize_speaker2_word_2....",Output as the word; Marks words whose timestamps or speaker labels were adjusted during diarization so you can spot low-confidence or boundary words.,WhisperX: Time-Accurate Speech Transcription of Long-Form Audio,https://github.com/m-bain/whisperX,Speech
Audio transcript,Audio,Speech-to-Text,"transcription, hidden_states (optional)","Text transcription of input audio (ASR). Output is a string (or list of strings for batch processing). Frame-level feature vectors (embeddings) from intermediate layers. Shape: [time_steps, feature_dim]. Used for downstream tasks. Multilingual over a variety of languages",XLSR,https://github.com/facebookresearch/fairseq/tree/main/examples/wav2vec,Speech
Audio transcript,Audio,Speech-to-Text,"text, score (optional), alignment (optional)","text: predicted transcription or translation (string); score: model confidence (log probability, float, higher is better); alignment: mapping of output tokens to input audio frames or source tokens ( requires enabling)",Speech-to-Text (S2T) Modeling,https://github.com/facebookresearch/fairseq/tree/main/examples/speech_to_text,Speech
Audio feature,Audio,"Spectral Features, Pitch, Rhythm","lbrs_spectral_centroid, lbrs_spectral_bandwidth, lbrs_spectral_flatness, lbrs_spectral_rolloff, lbrs_zero_crossing_rate, lbrs_rmse, lbrs_tempo, lbrs_spectral_flatness_singlevalue, lbrs_spectral_contrast_singlevalue, lbrs_rmse_singlevalue, lbrs_tempo_singlevalue, lbrs_zero_crossing_rate_singlevalue",*_singlevalue is one single value across time points (frame/sec),Librosa,https://github.com/librosa/librosa,Speech features
Audio Feature + Audio Sepation + analysis from different levels,Audio,Speech feature extraction,"(1) Low-level descriptors (LDD with Time Frame): osm_pcm_RMSenergy_sma,osm_loudness_sma,osm_spectralFlux_sma,osm_spectralRollOff25_sma,osm_spectralRollOff75_sma,osm_spectralCentroid_sma,osm_spectralEntropy_sma,osm_spectralSlope_sma,osm_spectralDecrease_sma,osm_mfcc1_sma,osm_mfcc2_sma,osm_mfcc3_sma,osm_mfcc4_sma,osm_mfcc5_sma,osm_mfcc6_sma,osm_mfcc7_sma,osm_mfcc8_sma,osm_mfcc9_sma,osm_mfcc10_sma,osm_mfcc11_sma,osm_mfcc12_sma,osm_F0final_sma,osm_voicingProb_sma,osm_jitterLocal_sma,osm_shimmerLocal_sma,osm_lsf1,osm_lsf2,osm_lsf3,osm_lsf4,osm_lsf5,osm_lsf6,osm_lsf7,osm_lsf8,osm_zcr_sma,osm_psychoacousticHarmonicity_sma,osm_psychoacousticSharpness_sma. 

(2) Functionals: Single-value summaries: osm_mean,osm_stddev,osm_skewness,osm_kurtosis,osm_percentile1.0,osm_percentile5.0,osm_percentile25.0,osm_percentile50.0,osm_percentile75.0,osm_percentile95.0,osm_percentile99.0,osm_min,osm_max,osm_minPos,osm_maxPos,osm_range,osm_quartile1,osm_quartile3,osm_interquartileRange,osm_linregc1,osm_linregc2,osm_linregerr
","Two level of output (1) Low-level descriptors (LDD): Low-Level Descriptors (LLDs) in openSMILE cover seven main categories: Energy & Loudness, including pcm_RMSenergy_sma (short-time RMS energy) and loudness_sma (perceptual loudness estimate); Zero-Crossing & Voicing, including pcm_zcr_sma (zero-crossing rate) and voicingProb_sma (voiced/unvoiced probability); Spectral Features, including spectralFlux_sma, spectralRollOff25.0_sma, spectralRollOff50.0_sma, spectralRollOff80.0_sma, spectralCentroid_sma, spectralEntropy_sma, spectralSlope_sma, spectralDecrease_sma; Cepstral Coefficients (MFCCs), including mfcc1_sma through mfcc12_sma; Pitch & Voice Quality, including F0final_sma (fundamental frequency), jitterLocal_sma, jitterDDP_sma (pitch perturbation), shimmerLocal_sma (amplitude perturbation), logHNR_sma (harmonics-to-noise ratio); Linear Predictive/LSP, including lspFreq1_sma through lspFreq8_sma; and Psychoacoustic & Harmonicity, including psychoacousticHarmonicity_sma, psychoacousticSharpness_sma, alphaRatio_sma, hammarbergIndex_sma, slopeV0_sma, slopeV1_sma. (2) Functionals: Single-value summaries only appear when you switch to the functionals level (e.g. reader.dmLevel=fun or using a ComParE/AVEC config without -lldcsvoutput), where each LLD is reduced to one or more statistical measures (mean, percentiles, regression coefficients, etc.) over the entire file.",openSMILE,https://github.com/audeering/opensmile,Speech/Music
,Audio,Sentiment Analysis,"arvs_batch_size, arvs_n_out, arvs_d_out","The Heinsen routing module itself does not write any files — it just returns a PyTorch tensor. The only “output variable” is whatever you assign that tensor to (by convention x_out), and its contents are: A batch of output capsules (vectors), one capsule per “output position”",AnAlgorithm for Routing Vectors in Sequences,https://github.com/glassroom/heinsen_routing,Text
,Audio,Complex characteristics of word use and how these uses vary across linguistic contexts,contextualized embeddings (optional),"For each input token, a context-dependent embedding vector. Shape: [num_tokens, embedding_dim] (typically 1024). Optionally, embeddings from multiple layers can be extracted. Used as input features for downstream NLP tasks. See ELMo paper - https://aclanthology.org/N18-1202/ and AllenNLP ELMo docs. - https://github.com/allenai/allennlp-models",Deep contextualized word representations,https://paperswithcode.com/paper/deep-contextualized-word-representations,Text
Disentangled attention mechanism + Enhanced mark decoder,Audio,Disentangled Attention Mechanism & Enhanced Mask Decoder,"DEB_SQuAD 1.1_F1/EM, DEB_SQuAD 2.0_F1/EM, DEB_MNLI-m/mm_Acc, DEB_SST-2_Acc, DEB_QNLI_Acc, DEB_CoLA_MCC, DEB_RTE_Acc, DEB_MRPC_Acc/F1, DEB_QQP_Acc/F1, DEB_STS-B_P/S","DEB_* variables are performance summaries (single numbers) computed after DeBERTa produces either token-level or sequence-level outputs. 
DeBERTa (Decoding-enhanced BERT with disentangled attention) improves the BERT and RoBERTa models using two novel techniques. The first is the disentangled attention mechanism, where each word is represented using two vectors that encode its content and position, respectively, and the attention weights among words are computed using disentangled matrices on their contents and relative positions. Second, an enhanced mask decoder is used to replace the output softmax layer to predict the masked tokens for model pretraining. We show that these two techniques significantly improve the efficiency of model pre-training and performance of downstream tasks.",DEBERTA,https://github.com/microsoft/DeBERTa,Text
Test the sentence consistency,Audio,contrastive learning framework,"CSE_STS12, CSE_STS13, CSE_STS14, CSE_STS15, CSE_STS16, CSE_STSBenchmark, CSE_SICKRelatedness, CSE_Avg",Might be not the time_frame format.,SimCSE: Simple Contrastive Learning of Sentence Embeddings,https://github.com/princeton-nlp/SimCSE,Text
New edition of BERT,Audio,Language representation,"alb_mnli, alb_qnli, alb_qqp, alb_rte, alb_sst, alb_mrpc, alb_cola, alb_sts, alb_squad1.1 dev, alb_squad2.0 dev, alb_squad2.0 test, alb_race test (middle/high)",single value,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,https://github.com/google-research/ALBERT,Text
